fid,GID_0,COUNTRY,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,SIS_RegionName,ToSplit
3365,UKR,Ukraine,UKR.9_1,Kherson,Cherson|Khersons'ka Oblast',Херсонська,Oblast',Region,NA,UA.KS,NA,Ukraine (main part),NA
3366,UKR,Ukraine,UKR.10_1,Khmel'nyts'kyy,Khmelnitsky|Khmelnytskyi|Chmelni,Хмельницька,Oblast',Region,NA,UA.KM,NA,Ukraine (main part),NA
3367,UKR,Ukraine,UKR.12_1,Kiev,Kiev Oblast|Kiew|Kijew|Kiiv|Kije,Київська,Oblast',Region,NA,UA.KV,NA,Ukraine (main part),NA
3368,UKR,Ukraine,UKR.11_1,Kiev City,Kyiv,Київ,Independent City,Independent City,NA,UA.KC,NA,Ukraine (main part),NA
3369,UKR,Ukraine,UKR.13_1,Kirovohrad,Kirovograd|Kirovogradskaya Oblas,Кіровоградська,Oblast',Region,NA,UA.KH,NA,Ukraine (main part),NA
3370,UKR,Ukraine,UKR.14_1,L'viv,Lemberg|Llvov|L'vov|Lwow|L'vivs',NA,Oblast',Region,NA,UA.LV,NA,Ukraine (main part),NA
3371,UKR,Ukraine,UKR.15_1,Luhans'k,Luhansk|Lugansk|Luhans'ka Oblast,Луганська,Oblast',Region,NA,UA.LH,NA,Ukraine (main part),NA
3372,UKR,Ukraine,UKR.16_1,Mykolayiv,Mykolaiv|Nikolajew|Nikolayev,Миколаївська,Oblast',Region,NA,UA.MY,NA,Ukraine (main part),NA
3373,UKR,Ukraine,UKR.17_1,Odessa,Odesa|Odes'ka Oblast'|Odesskaya,Одеська,Oblast',Region,NA,UA.OD,NA,Ukraine (main part),NA
3374,UKR,Ukraine,UKR.18_1,Poltava,NA,Полтавська,Oblast',Region,NA,UA.PL,NA,Ukraine (main part),NA
3375,UKR,Ukraine,UKR.19_1,Rivne,Rovno|Rivnens'ka Oblast'|Rovensk,Рівненська,Oblast',Region,NA,UA.RV,NA,Ukraine (main part),NA
